scenario_id,round,ue1_base_scale,ue2_base_scale,video_offered_mbps,video_delivered_mbps,video_delivery_ratio,video_gap_mbps,video_worst_delivery_ratio,video_imbalance_mbps,ue1_offered_mbps,ue2_offered_mbps,voice_delivery_ratio,voice_loss_percent,voice_jitter_ms,voice_rtt_p95_ms,label
load-u1-025-u2-055,2,0.25,0.55,8.012970553218286,8.012970553218286,1.0,0.0,1.0,2.7398431290751635,2.8,5.376406841146725,1.0,0.0,14.090685806666661,96.076539,STRONG_40
load-u1-025-u2-055,3,0.25,0.55,8.96,8.96,1.0,0.0,1.0,3.36,2.8,6.16,1.0,0.0,10.193162852348998,38.578641,STRONG_40
load-u1-025-u2-075,1,0.25,0.75,9.9680095469481,9.9680095469481,1.0,0.0,1.0,4.694918201633878,2.8,7.331463874290989,1.0,0.0,10.55350132885906,43.260136,MEDIUM_70
load-u1-025-u2-075,2,0.25,0.75,9.968036447347185,9.968036447347185,1.0,0.0,1.0,4.694891301234793,2.8,7.331463874290989,1.0,0.0,10.473640519999998,38.839034,MEDIUM_70
load-u1-025-u2-075,3,0.25,0.75,11.199999999999998,11.199999999999998,1.0,0.0,1.0,5.599999999999998,2.8,8.399999999999999,1.0,0.0,11.05098272483222,75.972123,MEDIUM_70
load-u1-025-u2-100,1,0.25,1.0,12.411938207311627,12.411938207311627,1.0,0.0,1.0,7.13863212413101,2.8,9.775285165721318,1.0,0.0,13.810250194630868,103.871862,STRONG_40
load-u1-025-u2-100,2,0.25,1.0,12.411837165649287,12.411837165649287,1.0,0.0,1.0,7.138733165793348,2.8,9.775285165721318,1.0,0.0,12.22659665100671,103.20039,STRONG_40
load-u1-025-u2-100,3,0.25,1.0,12.41188311081994,12.41188311081994,1.0,0.0,1.0,7.138687220622697,2.8,9.775285165721318,1.0,0.0,9.931979560810813,37.892171,STRONG_40
load-u1-040-u2-015,1,0.4,0.15,6.16,6.16,1.0,0.0,1.0,2.8,4.48,1.68,1.0,0.0,12.133891574324318,97.952232,LIGHT_85
load-u1-040-u2-015,2,0.4,0.15,6.16,6.16,1.0,0.0,1.0,2.8,4.48,1.68,1.0,0.0,10.864455939189195,64.142035,LIGHT_85
