timestamp,scenario_id,round,ue1_base_scale,ue2_base_scale,policy,policy_scale,sample_index,video_offered_mbps,video_delivered_mbps,video_delivery_ratio,video_gap_mbps,video_worst_delivery_ratio,video_imbalance_mbps,ue1_offered_mbps,ue2_offered_mbps,voice_delivery_ratio,voice_loss_percent,voice_jitter_ms,voice_rtt_p95_ms,sla_ok,ue_metrics
1785748006.2860494,fair-base8-w3-r02-u1-075-u2-055,2,0.75,0.55,MEDIUM_70,0.7,0,9.300268651310967,9.300268651310967,1.0,0.0,1.0,1.773299073705552,5.53678386250826,3.7634847888027076,1.0,0.0,11.881357617449662,80.623736,0,"{""ue1"": {""delivered_bps"": 5536783.86250826, ""delivery_ratio"": 1.0, ""offered_bps"": 5536783.86250826}, ""ue2"": {""delivered_bps"": 3763484.7888027076, ""delivery_ratio"": 1.0, ""offered_bps"": 3763484.7888027076}, ""ue3"": {""delivered_bps"": 127990.18289942108, ""delivery_ratio"": 1.0, ""jitter_ms"": 11.881357617449662, ""loss_percent"": 0.0, ""offered_bps"": 127990.18289942108, ""rtt_p95_ms"": 80.623736}}"
1785748007.4342153,fair-base8-w3-r02-u1-075-u2-055,2,0.75,0.55,MEDIUM_70,0.7,1,10.191999999999998,10.191999999999998,1.0,0.0,1.0,1.568,5.879999999999999,4.311999999999999,1.0,0.0,12.989464966442954,99.538535,0,"{""ue1"": {""delivered_bps"": 5879999.999999999, ""delivery_ratio"": 1.0, ""offered_bps"": 5879999.999999999}, ""ue2"": {""delivered_bps"": 4311999.999999999, ""delivery_ratio"": 1.0, ""offered_bps"": 4311999.999999999}, ""ue3"": {""delivered_bps"": 127991.01272747331, ""delivery_ratio"": 1.0, ""jitter_ms"": 12.989464966442954, ""loss_percent"": 0.0, ""offered_bps"": 127991.01272747331, ""rtt_p95_ms"": 99.538535}}"
1785748008.554829,fair-base8-w3-r02-u1-075-u2-055,2,0.75,0.55,MEDIUM_70,0.7,2,8.921410888422926,8.921410888422926,1.0,0.0,1.0,2.8385891115770714,5.879999999999999,3.0414108884229276,1.0,0.0,12.281724460000001,80.709477,0,"{""ue1"": {""delivered_bps"": 5879999.999999999, ""delivery_ratio"": 1.0, ""offered_bps"": 5879999.999999999}, ""ue2"": {""delivered_bps"": 3041410.888422928, ""delivery_ratio"": 1.0, ""offered_bps"": 3041410.888422928}, ""ue3"": {""delivered_bps"": 130551.80343486527, ""delivery_ratio"": 1.0, ""jitter_ms"": 12.281724460000001, ""loss_percent"": 0.0, ""offered_bps"": 127991.9641518287, ""rtt_p95_ms"": 80.709477}}"
1785748013.9064696,fair-base8-w3-r02-u1-075-u2-055,2,0.75,0.55,STRONG_40,0.4,0,5.314439139671868,5.314439139671868,1.0,0.0,1.0,1.0133136667544864,3.1638764032131768,2.1505627364586903,1.0,0.0,10.84416255704698,43.681388,1,"{""ue1"": {""delivered_bps"": 3163876.403213177, ""delivery_ratio"": 1.0, ""offered_bps"": 3163876.403213177}, ""ue2"": {""delivered_bps"": 2150562.7364586904, ""delivery_ratio"": 1.0, ""offered_bps"": 2150562.7364586904}, ""ue3"": {""delivered_bps"": 127991.17641630152, ""delivery_ratio"": 1.0, ""jitter_ms"": 10.84416255704698, ""loss_percent"": 0.0, ""offered_bps"": 127991.17641630152, ""rtt_p95_ms"": 43.681388}}"
1785748015.0380075,fair-base8-w3-r02-u1-075-u2-055,2,0.75,0.55,STRONG_40,0.4,1,5.097949079098816,5.097949079098816,1.0,0.0,1.0,1.6220509209011846,3.3600000000000003,1.737949079098816,1.0,0.0,11.305769749999998,67.796614,0,"{""ue1"": {""delivered_bps"": 3360000.0000000005, ""delivery_ratio"": 1.0, ""offered_bps"": 3360000.0000000005}, ""ue2"": {""delivered_bps"": 1737949.0790988158, ""delivery_ratio"": 1.0, ""offered_bps"": 1737949.0790988158}, ""ue3"": {""delivered_bps"": 125431.10016491736, ""delivery_ratio"": 1.0, ""jitter_ms"": 11.305769749999998, ""loss_percent"": 0.0, ""offered_bps"": 127990.91853562996, ""rtt_p95_ms"": 67.796614}}"
1785748016.195316,fair-base8-w3-r02-u1-075-u2-055,2,0.75,0.55,STRONG_40,0.4,2,5.824,5.824,1.0,0.0,1.0,0.8960000000000005,3.3600000000000003,2.464,1.0,0.0,13.0836580472973,84.878226,0,"{""ue1"": {""delivered_bps"": 3360000.0000000005, ""delivery_ratio"": 1.0, ""offered_bps"": 3360000.0000000005}, ""ue2"": {""delivered_bps"": 2464000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 2464000.0}, ""ue3"": {""delivered_bps"": 127989.85526653678, ""delivery_ratio"": 1.0, ""jitter_ms"": 13.0836580472973, ""loss_percent"": 0.0, ""offered_bps"": 127989.85526653678, ""rtt_p95_ms"": 84.878226}}"
1785748021.4716833,fair-base8-w3-r02-u1-075-u2-055,2,0.75,0.55,LIGHT_85,0.85,0,11.293162447807452,11.293162447807452,1.0,0.0,1.0,2.1532708178580178,6.7232166328327345,4.569945814974717,1.0,0.0,11.178419283783787,38.324299,1,"{""ue1"": {""delivered_bps"": 6723216.632832735, ""delivery_ratio"": 1.0, ""offered_bps"": 6723216.632832735}, ""ue2"": {""delivered_bps"": 4569945.814974717, ""delivery_ratio"": 1.0, ""offered_bps"": 4569945.814974717}, ""ue3"": {""delivered_bps"": 130550.66106561957, ""delivery_ratio"": 1.0, ""jitter_ms"": 11.178419283783787, ""loss_percent"": 0.0, ""offered_bps"": 127990.84418197996, ""rtt_p95_ms"": 38.324299}}"
1785748022.59574,fair-base8-w3-r02-u1-075-u2-055,2,0.75,0.55,LIGHT_85,0.85,1,12.376,12.376,1.0,0.0,1.0,1.903999999999999,7.139999999999999,5.236,1.0,0.0,11.70672767333333,52.667217,1,"{""ue1"": {""delivered_bps"": 7139999.999999999, ""delivery_ratio"": 1.0, ""offered_bps"": 7139999.999999999}, ""ue2"": {""delivered_bps"": 5236000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 5236000.0}, ""ue3"": {""delivered_bps"": 130549.89308163318, ""delivery_ratio"": 1.0, ""jitter_ms"": 11.70672767333333, ""loss_percent"": 0.0, ""offered_bps"": 127990.09125650313, ""rtt_p95_ms"": 52.667217}}"
1785748023.7473698,fair-base8-w3-r02-u1-075-u2-055,2,0.75,0.55,LIGHT_85,0.85,2,10.833141793084982,10.833141793084982,1.0,0.0,1.0,3.4468582069150155,7.139999999999999,3.6931417930849837,1.0,0.0,11.831168026490069,79.597354,0,"{""ue1"": {""delivered_bps"": 7139999.999999999, ""delivery_ratio"": 1.0, ""offered_bps"": 7139999.999999999}, ""ue2"": {""delivered_bps"": 3693141.7930849837, ""delivery_ratio"": 1.0, ""offered_bps"": 3693141.7930849837}, ""ue3"": {""delivered_bps"": 127990.10252748734, ""delivery_ratio"": 1.0, ""jitter_ms"": 11.831168026490069, ""loss_percent"": 0.0, ""offered_bps"": 127990.10252748734, ""rtt_p95_ms"": 79.597354}}"
1785748029.0415974,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,LIGHT_85,0.85,0,6.176676031321107,6.176676031321107,1.0,0.0,1.0,3.6839783140621716,4.93032717269164,1.246348858629468,1.0,0.0,10.459821644295301,36.963424,1,"{""ue1"": {""delivered_bps"": 4930327.1726916395, ""delivery_ratio"": 1.0, ""offered_bps"": 4930327.1726916395}, ""ue2"": {""delivered_bps"": 1246348.858629468, ""delivery_ratio"": 1.0, ""offered_bps"": 1246348.858629468}, ""ue3"": {""delivered_bps"": 127989.61427891212, ""delivery_ratio"": 1.0, ""jitter_ms"": 10.459821644295301, ""loss_percent"": 0.0, ""offered_bps"": 127989.61427891212, ""rtt_p95_ms"": 36.963424}}"
