scenario_id,video_ue_count,active_voice_count,video_base_demand_mbps,video_offered_mbps,video_delivered_mbps,video_delivery_ratio,voice_delivery_ratio,voice_loss_percent,voice_jitter_ms,voice_rtt_p95_ms,ue9_active,ue10_active,label
round-1-ue10-1785385254,8.0,1.0,8.60205289601808,8.60205289601808,9.433707400502861,1.0,1.0,0.0,12.660629133333336,80.071159,0.0,1.0,LIGHT_85
round-1-ue10-1785385254,8.0,1.0,7.522868191081271,7.522868191081271,9.433707400502861,1.0,0.9933774834437086,0.6622516556291391,12.891052020270275,134.35266,0.0,1.0,LIGHT_85
round-1-ue10-1785385254,8.0,1.0,7.698627162453451,7.698627162453451,7.9280035004051745,1.0,1.0,0.0,13.22433494630873,137.39988,0.0,1.0,LIGHT_85
round-1-ue10-1785385254,8.0,1.0,8.025645663781852,8.025645663781852,7.9280035004051745,0.9878337310831804,0.9933333333333333,0.6666666666666666,12.804057530612255,127.407825,0.0,1.0,LIGHT_85
round-1-ue10-1785385254,8.0,1.0,7.431808417645679,7.431808417645679,8.057384117563089,1.0,1.0,0.0,13.017682053691276,85.016332,0.0,1.0,LIGHT_85
round-1-ue10-1785385254,8.0,1.0,7.828675400431309,7.828675400431309,8.057384117563089,1.0,1.0,0.0,13.202662826666662,77.361069,0.0,1.0,LIGHT_85
round-1-ue9-1785385213,8.0,1.0,7.862039918766445,7.862039918766445,9.157238265655923,1.0,1.0,0.0,12.686939577181205,79.34515,1.0,0.0,EQUAL_100
round-1-ue9-1785385213,8.0,1.0,7.475952516530169,7.475952516530169,7.992605050784005,1.0,1.0,0.0,12.279760993333332,78.615427,1.0,0.0,EQUAL_100
round-1-ue9-1785385213,8.0,1.0,7.666025561624424,7.666025561624424,7.992605050784005,1.0,1.0,0.0,12.190827993288591,80.311093,1.0,0.0,EQUAL_100
round-1-ue9-1785385213,8.0,1.0,7.163734498891342,7.163734498891342,7.73497687835246,1.0,1.0,0.0,12.029344426666672,78.615427,1.0,0.0,EQUAL_100
round-1-ue9-1785385213,8.0,1.0,7.134556453764078,7.134556453764078,7.73497687835246,1.0,1.0,0.0,11.627441899328858,55.292597,1.0,0.0,EQUAL_100
round-1-ue9-1785385213,8.0,1.0,7.041752457491621,7.041752457491621,7.408190766503327,1.0,0.9933333333333333,0.6666666666666666,11.746520523809522,62.541187,1.0,0.0,EQUAL_100
round-1-ue9-ue10-1785385295,8.0,2.0,8.872261331564394,8.872261331564394,9.186289029879445,1.0,1.0,0.0,17.543710640000004,120.388705,1.0,1.0,LIGHT_85
round-1-ue9-ue10-1785385295,8.0,2.0,8.896230505163174,8.896230505163174,9.259334349382705,1.0,1.0,0.0,17.525285932885915,179.612438,1.0,1.0,LIGHT_85
round-1-ue9-ue10-1785385295,8.0,2.0,8.386335878143825,8.386335878143825,9.259334349382705,1.0,1.0,0.0,16.12217017218543,179.612438,1.0,1.0,LIGHT_85
round-1-ue9-ue10-1785385295,8.0,2.0,8.951057964111422,8.951057964111422,9.025726886296,1.0,1.0,0.0,14.976388540540539,179.612438,1.0,1.0,LIGHT_85
round-1-ue9-ue10-1785385295,8.0,2.0,8.330312926450759,8.330312926450759,9.025726886296,1.0,1.0,0.0,14.510474885135139,126.901645,1.0,1.0,LIGHT_85
round-1-ue9-ue10-1785385295,8.0,2.0,8.499141065267466,8.499141065267466,8.766057469250189,1.0,0.98,2.0,14.657254448275863,127.026563,1.0,1.0,LIGHT_85
round-2-ue10-1785385377,8.0,1.0,8.553250194645118,8.553250194645118,8.812139889036963,1.0,1.0,0.0,12.701017006711409,78.831227,0.0,1.0,LIGHT_85
round-2-ue10-1785385377,8.0,1.0,8.831450792318732,8.831450792318732,9.067782620960742,1.0,1.0,0.0,12.667941825503354,69.977565,0.0,1.0,LIGHT_85
round-2-ue10-1785385377,8.0,1.0,9.243953037125115,9.243953037125115,9.067782620960742,0.9809420909586143,1.0,0.0,14.50912674324324,95.288681,0.0,1.0,LIGHT_85
round-2-ue10-1785385377,8.0,1.0,8.417766035307467,8.417766035307467,8.589372517328318,1.0,1.0,0.0,14.738774718120814,125.58565,0.0,1.0,LIGHT_85
